Day,Close
1,30.14
2,29.02
3,28.03
4,28.47
5,28.98
6,29.26
7,28.25
8,28.62
9,26.51
10,28.20
11,27.34
12,26.90
13,27.71
14,27.88
15,28.05
16,27.73
17,28.10
18,28.87
19,28.70
20,28.92
21,29.30
22,29.24
23,30.40
24,30.84
25,29.49
26,30.74
27,30.07
28,29.60
29,28.93
30,27.75
31,27.93
32,28.52
33,28.02
34,27.29
35,27.11
36,25.46
37,22.77
38,26.05
39,24.27
40,27.91
41,30.85
42,32.42
43,31.92
44,32.14
45,33.65
46,31.07
47,33.81
48,36.16
49,38
50,37.49
51,35.98
52,35.06
53,33.37
54,33.22
55,33.31
56,36.93
57,42.61
58,40.24
59,41.32
60,43.91
61,44.91
62,43.78
63,44.72
64,43.44
65,44.82
66,43.35
67,44.04
68,46.18
69,44.16
70,45
71,43.24
72,42.90
73,39.24
74,42.09
75,40.37
76,39.40
77,39.41
78,39.05
79,40.36
80,41.77
81,41.29
82,42.11
83,41.08
84,40.05
85,39.45
86,40.19
87,42.75
88,41.71
89,40.13
90,41.79
91,44.44
92,45.09
93,49.42
94,48.22
95,49.11
96,48.44
97,48.77
98,51.51
99,49.63
100,49.18
101,48.13
102,46.76
103,47.09
104,49.56
105,48.20
106,50.30
107,50.91
108,48.91
109,49.74
110,49.44
111,46.94
112,45.15
113,44.69
114,46.46
115,47.08
116,46.97
117,47.80
118,49.99
119,51.92
120,48.55
121,49.05
122,48
123,47.12
124,48.22
125,46.80
126,49.43
127,48.81
128,48.71
129,47.52
130,45.96
131,46.73
132,46.32
