Day,animal shelter near me
2020-01-21,57
2020-01-22,56
2020-01-23,69
2020-01-24,55
2020-01-25,94
2020-01-26,86
2020-01-27,63
2020-01-28,54
2020-01-29,60
2020-01-30,57
2020-01-31,63
2020-02-01,97
2020-02-02,69
2020-02-03,52
2020-02-04,57
2020-02-05,56
2020-02-06,51
2020-02-07,60
2020-02-08,100
2020-02-09,79
2020-02-10,60
2020-02-11,43
2020-02-12,53
2020-02-13,60
2020-02-14,65
2020-02-15,74
2020-02-16,68
2020-02-17,80
2020-02-18,57
2020-02-19,59
2020-02-20,46
2020-02-21,64
2020-02-22,81
2020-02-23,70
2020-02-24,60
2020-02-25,49
2020-02-26,47
2020-02-27,50
2020-02-28,51
2020-02-29,90
2020-03-01,58
2020-03-02,56
2020-03-03,64
2020-03-04,49
2020-03-05,52
2020-03-06,58
2020-03-07,82
2020-03-08,70
2020-03-09,53
2020-03-10,42
2020-03-11,59
2020-03-12,50
2020-03-13,51
2020-03-14,71
2020-03-15,50
2020-03-16,56
2020-03-17,47
2020-03-18,55
2020-03-19,72
2020-03-20,68
2020-03-21,100
2020-03-22,75
2020-03-23,63
2020-03-24,59
2020-03-25,68
2020-03-26,69
2020-03-27,65
2020-03-28,86
2020-03-29,70
2020-03-30,89
2020-03-31,58
2020-04-01,57
2020-04-02,58
2020-04-03,61
2020-04-04,97
2020-04-05,71
2020-04-06,62
2020-04-07,65
2020-04-08,62
2020-04-09,57
2020-04-10,60
2020-04-11,78
2020-04-12,58
2020-04-13,68
2020-04-14,53
2020-04-15,74
2020-04-16,59
2020-04-17,57
2020-04-18,67
2020-04-19,81
2020-04-20,60
2020-04-21,57
2020-04-22,72
2020-04-23,72
2020-04-24,56
2020-04-25,76
2020-04-26,64
2020-04-27,54
2020-04-28,41
2020-04-29,65
2020-04-30,67
2020-05-01,70
2020-05-02,89
2020-05-03,91
2020-05-04,61
2020-05-05,69
2020-05-06,60
2020-05-07,69
2020-05-08,76
2020-05-09,77
2020-05-10,69
2020-05-11,73
2020-05-12,75
2020-05-13,65
2020-05-14,67
2020-05-15,68
2020-05-16,78
2020-05-17,59
2020-05-18,56
2020-05-19,58
2020-05-20,73
2020-05-21,73
2020-05-22,61
2020-05-23,72
2020-05-24,76
2020-05-25,62
2020-05-26,61
2020-05-27,67
2020-05-28,63
2020-05-29,55
2020-05-30,76
2020-05-31,66
2020-06-01,71
2020-06-02,49
2020-06-03,73
2020-06-04,59
2020-06-05,72
2020-06-06,83
2020-06-07,75
2020-06-08,67
2020-06-09,72
2020-06-10,64
2020-06-11,65
2020-06-12,83
2020-06-13,81
2020-06-14,75
2020-06-15,72
2020-06-16,72
2020-06-17,60
2020-06-18,68
2020-06-19,65
2020-06-20,85
2020-06-21,54
2020-06-22,83
2020-06-23,87
2020-06-24,65
2020-06-25,73
2020-06-26,73
2020-06-27,74
2020-06-28,68
2020-06-29,87
2020-06-30,79
2020-07-01,79
2020-07-02,80
2020-07-03,65
2020-07-04,66
2020-07-05,61
2020-07-06,73
2020-07-07,91
2020-07-08,71
2020-07-09,66
2020-07-10,72
2020-07-11,79
2020-07-12,76
2020-07-13,75
2020-07-14,75
2020-07-15,75
2020-07-16,75
2020-07-17,80
2020-07-18,91
2020-07-19,75
2020-07-20,64
2020-07-21,68
2020-07-22,54
2020-07-23,71
2020-07-24,68
2020-07-25,86
2020-07-26,89
2020-07-27,62
