Day,chewy
2020-01-21,37
2020-01-22,36
2020-01-23,42
2020-01-24,43
2020-01-25,48
2020-01-26,45
2020-01-27,46
2020-01-28,48
2020-01-29,43
2020-01-30,33
2020-01-31,44
2020-02-01,46
2020-02-02,44
2020-02-03,36
2020-02-04,44
2020-02-05,40
2020-02-06,53
2020-02-07,42
2020-02-08,56
2020-02-09,63
2020-02-10,52
2020-02-11,46
2020-02-12,52
2020-02-13,30
2020-02-14,40
2020-02-15,56
2020-02-16,44
2020-02-17,48
2020-02-18,27
2020-02-19,41
2020-02-20,42
2020-02-21,44
2020-02-22,44
2020-02-23,49
2020-02-24,44
2020-02-25,42
2020-02-26,43
2020-02-27,45
2020-02-28,60
2020-02-29,45
2020-03-01,56
2020-03-02,47
2020-03-03,52
2020-03-04,46
2020-03-05,43
2020-03-06,44
2020-03-07,55
2020-03-08,53
2020-03-09,37
2020-03-10,47
2020-03-11,48
2020-03-12,48
2020-03-13,69
2020-03-14,70
2020-03-15,78
2020-03-16,77
2020-03-17,84
2020-03-18,77
2020-03-19,86
2020-03-20,83
2020-03-21,100
2020-03-22,86
2020-03-23,87
2020-03-24,84
2020-03-25,80
2020-03-26,75
2020-03-27,77
2020-03-28,76
2020-03-29,62
2020-03-30,59
2020-03-31,82
2020-04-01,78
2020-04-02,93
2020-04-03,72
2020-04-04,85
2020-04-05,72
2020-04-06,66
2020-04-07,70
2020-04-08,72
2020-04-09,75
2020-04-10,62
2020-04-11,77
2020-04-12,58
2020-04-13,61
2020-04-14,54
2020-04-15,70
2020-04-16,62
2020-04-17,61
2020-04-18,76
2020-04-19,66
2020-04-20,62
2020-04-21,59
2020-04-22,64
2020-04-23,65
2020-04-24,60
2020-04-25,62
2020-04-26,50
2020-04-27,62
2020-04-28,55
2020-04-29,60
2020-04-30,54
2020-05-01,51
2020-05-02,60
2020-05-03,36
2020-05-04,47
2020-05-05,57
2020-05-06,58
2020-05-07,50
2020-05-08,44
2020-05-09,37
2020-05-10,43
2020-05-11,51
2020-05-12,48
2020-05-13,48
2020-05-14,45
2020-05-15,45
2020-05-16,58
2020-05-17,48
2020-05-18,50
2020-05-19,51
2020-05-20,50
2020-05-21,51
2020-05-22,40
2020-05-23,48
2020-05-24,33
2020-05-25,42
2020-05-26,43
2020-05-27,54
2020-05-28,44
2020-05-29,42
2020-05-30,48
2020-05-31,43
2020-06-01,48
2020-06-02,52
2020-06-03,51
2020-06-04,45
2020-06-05,41
2020-06-06,43
2020-06-07,49
2020-06-08,44
2020-06-09,36
2020-06-10,43
2020-06-11,46
2020-06-12,45
2020-06-13,53
2020-06-14,49
2020-06-15,44
2020-06-16,46
2020-06-17,47
2020-06-18,42
2020-06-19,44
2020-06-20,32
2020-06-21,39
2020-06-22,53
2020-06-23,49
2020-06-24,60
2020-06-25,43
2020-06-26,42
2020-06-27,42
2020-06-28,51
2020-06-29,58
2020-06-30,55
2020-07-01,44
2020-07-02,51
2020-07-03,43
2020-07-04,47
2020-07-05,43
2020-07-06,57
2020-07-07,61
2020-07-08,47
2020-07-09,44
2020-07-10,53
2020-07-11,60
2020-07-12,52
2020-07-13,61
2020-07-14,47
2020-07-15,56
2020-07-16,44
2020-07-17,49
2020-07-18,56
2020-07-19,52
2020-07-20,57
2020-07-21,45
2020-07-22,55
2020-07-23,49
2020-07-24,49
2020-07-25,49
2020-07-26,50
2020-07-27,45
