Day,kittens
2020-01-21,46
2020-01-22,41
2020-01-23,44
2020-01-24,45
2020-01-25,51
2020-01-26,49
2020-01-27,41
2020-01-28,41
2020-01-29,41
2020-01-30,40
2020-01-31,38
2020-02-01,52
2020-02-02,49
2020-02-03,36
2020-02-04,41
2020-02-05,37
2020-02-06,37
2020-02-07,41
2020-02-08,48
2020-02-09,51
2020-02-10,38
2020-02-11,37
2020-02-12,36
2020-02-13,41
2020-02-14,34
2020-02-15,44
2020-02-16,46
2020-02-17,47
2020-02-18,35
2020-02-19,39
2020-02-20,39
2020-02-21,36
2020-02-22,44
2020-02-23,46
2020-02-24,36
2020-02-25,35
2020-02-26,35
2020-02-27,37
2020-02-28,37
2020-02-29,45
2020-03-01,47
2020-03-02,39
2020-03-03,37
2020-03-04,37
2020-03-05,40
2020-03-06,41
2020-03-07,45
2020-03-08,45
2020-03-09,36
2020-03-10,40
2020-03-11,41
2020-03-12,28
2020-03-13,33
2020-03-14,44
2020-03-15,43
2020-03-16,35
2020-03-17,34
2020-03-18,35
2020-03-19,43
2020-03-20,41
2020-03-21,59
2020-03-22,59
2020-03-23,42
2020-03-24,49
2020-03-25,51
2020-03-26,53
2020-03-27,56
2020-03-28,71
2020-03-29,70
2020-03-30,67
2020-03-31,67
2020-04-01,72
2020-04-02,74
2020-04-03,70
2020-04-04,84
2020-04-05,83
2020-04-06,69
2020-04-07,72
2020-04-08,71
2020-04-09,69
2020-04-10,74
2020-04-11,91
2020-04-12,88
2020-04-13,67
2020-04-14,69
2020-04-15,70
2020-04-16,76
2020-04-17,81
2020-04-18,93
2020-04-19,93
2020-04-20,74
2020-04-21,77
2020-04-22,79
2020-04-23,77
2020-04-24,78
2020-04-25,93
2020-04-26,88
2020-04-27,84
2020-04-28,75
2020-04-29,75
2020-04-30,73
2020-05-01,75
2020-05-02,90
2020-05-03,93
2020-05-04,76
2020-05-05,83
2020-05-06,79
2020-05-07,81
2020-05-08,86
2020-05-09,97
2020-05-10,100
2020-05-11,84
2020-05-12,83
2020-05-13,86
2020-05-14,79
2020-05-15,79
2020-05-16,89
2020-05-17,98
2020-05-18,83
2020-05-19,83
2020-05-20,80
2020-05-21,81
2020-05-22,82
2020-05-23,98
2020-05-24,92
2020-05-25,88
2020-05-26,81
2020-05-27,80
2020-05-28,78
2020-05-29,80
2020-05-30,94
2020-05-31,91
2020-06-01,71
2020-06-02,71
2020-06-03,75
2020-06-04,79
2020-06-05,83
2020-06-06,88
2020-06-07,96
2020-06-08,78
2020-06-09,82
2020-06-10,79
2020-06-11,74
2020-06-12,74
2020-06-13,90
2020-06-14,86
2020-06-15,80
2020-06-16,73
2020-06-17,82
2020-06-18,77
2020-06-19,79
2020-06-20,94
2020-06-21,88
2020-06-22,83
2020-06-23,77
2020-06-24,74
2020-06-25,74
2020-06-26,73
2020-06-27,90
2020-06-28,90
2020-06-29,76
2020-06-30,71
2020-07-01,78
2020-07-02,69
2020-07-03,75
2020-07-04,80
2020-07-05,80
2020-07-06,63
2020-07-07,73
2020-07-08,73
2020-07-09,70
2020-07-10,72
2020-07-11,81
2020-07-12,83
2020-07-13,67
2020-07-14,66
2020-07-15,72
2020-07-16,68
2020-07-17,75
2020-07-18,83
2020-07-19,85
2020-07-20,71
2020-07-21,71
2020-07-22,68
2020-07-23,71
2020-07-24,76
2020-07-25,88
2020-07-26,86
2020-07-27,71
