Day,petsforsale
2020-01-21,28
2020-01-22,45
2020-01-23,37
2020-01-24,34
2020-01-25,44
2020-01-26,52
2020-01-27,35
2020-01-28,41
2020-01-29,34
2020-01-30,32
2020-01-31,32
2020-02-01,56
2020-02-02,49
2020-02-03,35
2020-02-04,33
2020-02-05,35
2020-02-06,43
2020-02-07,46
2020-02-08,59
2020-02-09,46
2020-02-10,38
2020-02-11,33
2020-02-12,32
2020-02-13,34
2020-02-14,29
2020-02-15,51
2020-02-16,53
2020-02-17,44
2020-02-18,37
2020-02-19,40
2020-02-20,42
2020-02-21,37
2020-02-22,62
2020-02-23,53
2020-02-24,45
2020-02-25,42
2020-02-26,41
2020-02-27,43
2020-02-28,35
2020-02-29,52
2020-03-01,47
2020-03-02,49
2020-03-03,29
2020-03-04,29
2020-03-05,43
2020-03-06,37
2020-03-07,49
2020-03-08,49
2020-03-09,46
2020-03-10,37
2020-03-11,36
2020-03-12,36
2020-03-13,29
2020-03-14,41
2020-03-15,46
2020-03-16,27
2020-03-17,31
2020-03-18,32
2020-03-19,33
2020-03-20,39
2020-03-21,54
2020-03-22,64
2020-03-23,50
2020-03-24,54
2020-03-25,43
2020-03-26,57
2020-03-27,43
2020-03-28,70
2020-03-29,76
2020-03-30,55
2020-03-31,57
2020-04-01,50
2020-04-02,57
2020-04-03,62
2020-04-04,72
2020-04-05,84
2020-04-06,53
2020-04-07,53
2020-04-08,64
2020-04-09,63
2020-04-10,60
2020-04-11,100
2020-04-12,65
2020-04-13,71
2020-04-14,65
2020-04-15,65
2020-04-16,77
2020-04-17,69
2020-04-18,87
2020-04-19,99
2020-04-20,73
2020-04-21,78
2020-04-22,73
2020-04-23,75
2020-04-24,63
2020-04-25,78
2020-04-26,90
2020-04-27,68
2020-04-28,66
2020-04-29,85
2020-04-30,78
2020-05-01,68
2020-05-02,92
2020-05-03,99
2020-05-04,67
2020-05-05,65
2020-05-06,60
2020-05-07,52
2020-05-08,63
2020-05-09,83
2020-05-10,71
2020-05-11,65
2020-05-12,60
2020-05-13,66
2020-05-14,60
2020-05-15,59
2020-05-16,74
2020-05-17,85
2020-05-18,58
2020-05-19,63
2020-05-20,61
2020-05-21,60
2020-05-22,54
2020-05-23,74
2020-05-24,68
2020-05-25,65
2020-05-26,52
2020-05-27,48
2020-05-28,54
2020-05-29,45
2020-05-30,60
2020-05-31,66
2020-06-01,56
2020-06-02,44
2020-06-03,53
2020-06-04,49
2020-06-05,62
2020-06-06,62
2020-06-07,70
2020-06-08,59
2020-06-09,52
2020-06-10,54
2020-06-11,41
2020-06-12,59
2020-06-13,73
2020-06-14,71
2020-06-15,48
2020-06-16,52
2020-06-17,51
2020-06-18,53
2020-06-19,52
2020-06-20,73
2020-06-21,56
2020-06-22,55
2020-06-23,62
2020-06-24,55
2020-06-25,49
2020-06-26,63
2020-06-27,73
2020-06-28,67
2020-06-29,55
2020-06-30,60
2020-07-01,44
2020-07-02,56
2020-07-03,50
2020-07-04,59
2020-07-05,83
2020-07-06,62
2020-07-07,51
2020-07-08,66
2020-07-09,59
2020-07-10,63
2020-07-11,66
2020-07-12,61
2020-07-13,54
2020-07-14,59
2020-07-15,60
2020-07-16,58
2020-07-17,66
2020-07-18,54
2020-07-19,59
2020-07-20,45
2020-07-21,63
2020-07-22,52
2020-07-23,50
2020-07-24,59
2020-07-25,61
2020-07-26,75
2020-07-27,51
