Day,puppies
2020-01-21,53
2020-01-22,44
2020-01-23,45
2020-01-24,48
2020-01-25,59
2020-01-26,57
2020-01-27,42
2020-01-28,43
2020-01-29,44
2020-01-30,43
2020-01-31,43
2020-02-01,55
2020-02-02,63
2020-02-03,43
2020-02-04,47
2020-02-05,41
2020-02-06,43
2020-02-07,46
2020-02-08,56
2020-02-09,58
2020-02-10,47
2020-02-11,45
2020-02-12,47
2020-02-13,42
2020-02-14,44
2020-02-15,63
2020-02-16,62
2020-02-17,59
2020-02-18,47
2020-02-19,45
2020-02-20,45
2020-02-21,45
2020-02-22,58
2020-02-23,62
2020-02-24,45
2020-02-25,46
2020-02-26,44
2020-02-27,44
2020-02-28,45
2020-02-29,55
2020-03-01,58
2020-03-02,42
2020-03-03,42
2020-03-04,41
2020-03-05,41
2020-03-06,43
2020-03-07,53
2020-03-08,55
2020-03-09,44
2020-03-10,43
2020-03-11,42
2020-03-12,34
2020-03-13,39
2020-03-14,52
2020-03-15,51
2020-03-16,38
2020-03-17,38
2020-03-18,41
2020-03-19,45
2020-03-20,47
2020-03-21,65
2020-03-22,67
2020-03-23,54
2020-03-24,56
2020-03-25,54
2020-03-26,58
2020-03-27,60
2020-03-28,79
2020-03-29,76
2020-03-30,59
2020-03-31,61
2020-04-01,59
2020-04-02,60
2020-04-03,63
2020-04-04,79
2020-04-05,83
2020-04-06,62
2020-04-07,61
2020-04-08,63
2020-04-09,65
2020-04-10,70
2020-04-11,88
2020-04-12,85
2020-04-13,71
2020-04-14,71
2020-04-15,70
2020-04-16,73
2020-04-17,75
2020-04-18,100
2020-04-19,94
2020-04-20,73
2020-04-21,74
2020-04-22,74
2020-04-23,73
2020-04-24,73
2020-04-25,87
2020-04-26,91
2020-04-27,73
2020-04-28,73
2020-04-29,68
2020-04-30,71
2020-05-01,70
2020-05-02,89
2020-05-03,90
2020-05-04,69
2020-05-05,67
2020-05-06,66
2020-05-07,65
2020-05-08,67
2020-05-09,82
2020-05-10,85
2020-05-11,69
2020-05-12,70
2020-05-13,67
2020-05-14,66
2020-05-15,66
2020-05-16,79
2020-05-17,84
2020-05-18,66
2020-05-19,67
2020-05-20,66
2020-05-21,64
2020-05-22,63
2020-05-23,78
2020-05-24,80
2020-05-25,74
2020-05-26,61
2020-05-27,60
2020-05-28,61
2020-05-29,58
2020-05-30,68
2020-05-31,70
2020-06-01,54
2020-06-02,58
2020-06-03,60
2020-06-04,59
2020-06-05,60
2020-06-06,74
2020-06-07,79
2020-06-08,62
2020-06-09,62
2020-06-10,62
2020-06-11,58
2020-06-12,61
2020-06-13,72
2020-06-14,76
2020-06-15,64
2020-06-16,59
2020-06-17,60
2020-06-18,59
2020-06-19,61
2020-06-20,72
2020-06-21,75
2020-06-22,62
2020-06-23,61
2020-06-24,58
2020-06-25,60
2020-06-26,61
2020-06-27,72
2020-06-28,76
2020-06-29,61
2020-06-30,61
2020-07-01,60
2020-07-02,58
2020-07-03,66
2020-07-04,70
2020-07-05,70
2020-07-06,64
2020-07-07,58
2020-07-08,63
2020-07-09,59
2020-07-10,62
2020-07-11,71
2020-07-12,73
2020-07-13,57
2020-07-14,58
2020-07-15,56
2020-07-16,61
2020-07-17,61
2020-07-18,72
2020-07-19,76
2020-07-20,60
2020-07-21,61
2020-07-22,59
2020-07-23,62
2020-07-24,61
2020-07-25,73
2020-07-26,77
2020-07-27,58
