date,cases
1/21/20,1
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,3
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,5
1/30/20,6
1/31/20,7
2/1/20,8
2/2/20,11
2/3/20,11
2/4/20,11
2/5/20,12
2/6/20,12
2/7/20,12
2/8/20,12
2/9/20,12
2/10/20,13
2/11/20,13
2/12/20,14
2/13/20,15
2/14/20,15
2/15/20,15
2/16/20,15
2/17/20,25
2/18/20,25
2/19/20,25
2/20/20,27
2/21/20,30
2/22/20,30
2/23/20,30
2/24/20,43
2/25/20,45
2/26/20,60
2/27/20,60
2/28/20,65
2/29/20,70
3/1/20,88
3/2/20,104
3/3/20,125
3/4/20,161
3/5/20,228
3/6/20,311
3/7/20,428
3/8/20,547
3/9/20,748
3/10/20,1018
3/11/20,1263
3/12/20,1668
3/13/20,2224
3/14/20,2898
3/15/20,3600
3/16/20,4507
3/17/20,5906
3/18/20,8350
3/19/20,12393
3/20/20,18012
3/21/20,24528
3/22/20,33073
3/23/20,43505
3/24/20,53938
3/25/20,68572
3/26/20,85570
3/27/20,102900
3/28/20,123966
3/29/20,142486
3/30/20,163955
3/31/20,188461
4/1/20,215391
4/2/20,245108
4/3/20,277426
4/4/20,312525
4/5/20,338141
4/6/20,369057
4/7/20,399394
4/8/20,431214
4/9/20,465913
4/10/20,499386
4/11/20,531106
4/12/20,558249
4/13/20,584018
4/14/20,610709
4/15/20,640742
4/16/20,672355
4/17/20,703864
4/18/20,732262
4/19/20,757596
4/20/20,784926
4/21/20,810434
4/22/20,839266
4/23/20,873039
4/24/20,909778
4/25/20,944186
4/26/20,970921
4/27/20,994110
4/28/20,1018744
4/29/20,1045298
4/30/20,1075637
5/1/20,1109601
5/2/20,1139075
5/3/20,1165215
5/4/20,1187176
5/5/20,1210881
5/6/20,1235366
5/7/20,1263841
5/8/20,1291483
5/9/20,1316351
5/10/20,1336668
5/11/20,1354286
5/12/20,1376585
5/13/20,1397726
5/14/20,1424687
5/15/20,1450910
5/16/20,1474569
5/17/20,1493583
5/18/20,1515403
5/19/20,1536371
5/20/20,1559435
5/21/20,1585168
5/22/20,1608961
5/23/20,1631229
5/24/20,1651260
5/25/20,1670360
5/26/20,1689249
5/27/20,1707990
5/28/20,1730458
5/29/20,1755005
5/30/20,1778402
5/31/20,1799036
6/1/20,1820930
6/2/20,1841716
6/3/20,1861695
6/4/20,1883309
6/5/20,1912006
6/6/20,1934522
6/7/20,1953138
6/8/20,1971339
6/9/20,1990143
6/10/20,2013298
6/11/20,2036500
6/12/20,2061993
6/13/20,2087327
6/14/20,2106457
6/15/20,2126574
6/16/20,2151459
6/17/20,2177114
6/18/20,2205173
6/19/20,2236009
6/20/20,2268034
6/21/20,2294413
6/22/20,2324879
6/23/20,2359937
6/24/20,2396926
6/25/20,2438099
6/26/20,2483625
6/27/20,2525929
6/28/20,2565007
6/29/20,2604924
6/30/20,2653319
7/1/20,2703296
7/2/20,2758851
7/3/20,2815374
7/4/20,2866014
7/5/20,2910780
7/6/20,2958095
7/7/20,3012252
7/8/20,3071711
7/9/20,3131610
7/10/20,3199837
7/11/20,3260565
7/12/20,3318372
7/13/20,3379943
7/14/20,3445544
7/15/20,3513892
7/16/20,3589589
7/17/20,3660512
7/18/20,3722966
7/19/20,3785241
7/20/20,3845124
7/21/20,3910398
7/22/20,3980128
7/23/20,4050126
7/24/20,4123651
7/25/20,4190422
7/26/20,4244634
7/27/20,4303813
7/28/20,4366922
